type,url
pdf,https://cdn-icons-png.flaticon.com/512/80/80942.png
csv,https://cdn-icons-png.flaticon.com/512/28/28842.png
xml,https://cdn-icons-png.flaticon.com/512/29/29611.png
doc,https://cdn-icons-png.flaticon.com/512/28/28863.png
pptx,https://cdn-icons-png.flaticon.com/512/28/28821.png
xlsx,https://cdn-icons-png.flaticon.com/512/28/28841.png
jpeg,https://cdn-icons-png.flaticon.com/512/3033/3033215.png
jpg,https://cdn-icons-png.flaticon.com/512/3033/3033215.png
png,https://cdn-icons-png.flaticon.com/512/3033/3033215.png
gif,https://cdn-icons-png.flaticon.com/512/3033/3033215.png
mp4,https://cdn-icons-png.flaticon.com/512/1146/1146185.png
txt,https://cdn-icons-png.flaticon.com/512/28/28878.png
directory,https://cdn-icons-png.flaticon.com/512/4956/4956478.png
file,https://cdn-icons-png.flaticon.com/512/2258/2258853.png